date,symbol,sales
12/5/2011,AAPL,56.14428714
12/6/2011,AAPL,55.84999843
12/7/2011,AAPL,55.58428571
12/8/2011,AAPL,55.80857086
12/9/2011,AAPL,56.23143
12/12/2011,AAPL,55.97714229
12/13/2011,AAPL,55.54428486
12/14/2011,AAPL,54.31285857
12/15/2011,AAPL,54.134285
12/16/2011,AAPL,54.431427
12/19/2011,AAPL,54.601429
12/20/2011,AAPL,56.56428529
12/21/2011,AAPL,56.63571543
12/22/2011,AAPL,56.93571471
12/23/2011,AAPL,57.61857229
12/27/2011,AAPL,58.07571414
12/28/2011,AAPL,57.52000043
12/29/2011,AAPL,57.87428671
12/30/2011,AAPL,57.85714343
1/3/2012,AAPL,58.74714286
1/4/2012,AAPL,59.06285857
1/5/2012,AAPL,59.71857071
1/6/2012,AAPL,60.34285743
1/9/2012,AAPL,60.24714286
1/10/2012,AAPL,60.46285629
1/11/2012,AAPL,60.36428457
1/12/2012,AAPL,60.19857029
1/13/2012,AAPL,59.97285843
1/17/2012,AAPL,60.67142871
1/18/2012,AAPL,61.30142971
1/19/2012,AAPL,61.10714343
1/20/2012,AAPL,60.04285814
1/23/2012,AAPL,61.05857086
1/24/2012,AAPL,60.05857086
1/25/2012,AAPL,63.80857086
1/26/2012,AAPL,63.51857
1/27/2012,AAPL,63.89714429
1/30/2012,AAPL,64.71571357
1/31/2012,AAPL,65.21142571
2/1/2012,AAPL,65.16999814
2/2/2012,AAPL,65.01714329
2/3/2012,AAPL,65.66857143
2/6/2012,AAPL,66.28142543
2/7/2012,AAPL,66.97571557
2/8/2012,AAPL,68.09714514
2/9/2012,AAPL,70.452858
2/10/2012,AAPL,70.48857114
2/13/2012,AAPL,71.800003
2/14/2012,AAPL,72.77999871
2/15/2012,AAPL,71.09571071
2/16/2012,AAPL,71.74428557
2/17/2012,AAPL,71.73143
2/21/2012,AAPL,73.550003
2/22/2012,AAPL,73.29142757
2/23/2012,AAPL,73.76999671
2/24/2012,AAPL,74.62999729
2/27/2012,AAPL,75.10857386
2/28/2012,AAPL,76.48714443
2/29/2012,AAPL,77.49143214
3/1/2012,AAPL,77.78142543
3/2/2012,AAPL,77.88285829
3/5/2012,AAPL,76.16571814
3/6/2012,AAPL,75.75142671
3/7/2012,AAPL,75.81285857
3/8/2012,AAPL,77.42713929
3/9/2012,AAPL,77.88143157
3/12/2012,AAPL,78.85713957
3/13/2012,AAPL,81.15714257
3/14/2012,AAPL,84.22571557
3/15/2012,AAPL,83.65142829
3/16/2012,AAPL,83.65285486
3/19/2012,AAPL,85.87142943
3/20/2012,AAPL,86.565712
3/21/2012,AAPL,86.07142643
3/22/2012,AAPL,85.62000271
3/23/2012,AAPL,85.15000157
3/26/2012,AAPL,86.71142571
3/27/2012,AAPL,87.78285986
3/28/2012,AAPL,88.23143
3/29/2012,AAPL,87.12285614
3/30/2012,AAPL,85.65000157
4/2/2012,AAPL,88.37571714
4/3/2012,AAPL,89.90285486
4/4/2012,AAPL,89.18714143
4/5/2012,AAPL,90.525711
4/9/2012,AAPL,90.88999943
4/10/2012,AAPL,89.77714543
4/11/2012,AAPL,89.45714571
4/12/2012,AAPL,88.96714014
4/13/2012,AAPL,86.46142571
4/16/2012,AAPL,82.87571714
4/17/2012,AAPL,87.09999843
4/18/2012,AAPL,86.905716
4/19/2012,AAPL,83.91999814
4/20/2012,AAPL,81.85428614
4/23/2012,AAPL,81.67142486
4/24/2012,AAPL,80.04000086
4/25/2012,AAPL,87.14286043
4/26/2012,AAPL,86.81428529
4/27/2012,AAPL,86.14286043
4/30/2012,AAPL,83.42571257
5/1/2012,AAPL,83.16143043
5/2/2012,AAPL,83.71142571
5/3/2012,AAPL,83.11714171
5/4/2012,AAPL,80.75
5/7/2012,AAPL,81.35428614
5/8/2012,AAPL,81.16857143
5/9/2012,AAPL,81.31143186
5/10/2012,AAPL,81.50285343
5/11/2012,AAPL,80.95857243
5/14/2012,AAPL,79.74571229
5/15/2012,AAPL,79.02428443
5/16/2012,AAPL,78.01142886
5/17/2012,AAPL,75.73143
5/18/2012,AAPL,75.76857
5/21/2012,AAPL,80.18285371
5/22/2012,AAPL,79.56714629
5/23/2012,AAPL,81.50856786
5/24/2012,AAPL,80.76000214
5/25/2012,AAPL,80.32714086
5/29/2012,AAPL,81.75285343
5/30/2012,AAPL,82.73857114
5/31/2012,AAPL,82.53285986
6/1/2012,AAPL,80.14142614
6/4/2012,AAPL,80.612854
6/5/2012,AAPL,80.40428929
6/6/2012,AAPL,81.637146
6/7/2012,AAPL,81.67428586
6/8/2012,AAPL,82.90285486
6/11/2012,AAPL,81.59571071
6/12/2012,AAPL,82.30857086
