,date,symbol,sales
638,7/16/2012,AAPL,17.0
639,7/17/2012,AAPL,17.0
640,7/18/2012,AAPL,17.0
641,7/19/2012,AAPL,17.0
642,7/20/2012,AAPL,17.0
643,7/23/2012,AAPL,17.0
644,7/24/2012,AAPL,17.0
645,7/25/2012,AAPL,16.0
646,7/26/2012,AAPL,16.0
647,7/27/2012,AAPL,16.0
648,7/30/2012,AAPL,17.0
649,7/31/2012,AAPL,17.0
650,8/1/2012,AAPL,17.0
651,8/2/2012,AAPL,17.0
652,8/3/2012,AAPL,17.0
653,8/6/2012,AAPL,17.0
654,8/7/2012,AAPL,17.0
655,8/8/2012,AAPL,17.0
656,8/9/2012,AAPL,17.0
657,8/10/2012,AAPL,17.0
658,8/13/2012,AAPL,18.0
659,8/14/2012,AAPL,18.0
660,8/15/2012,AAPL,18.0
661,8/16/2012,AAPL,18.0
662,8/17/2012,AAPL,18.0
663,8/20/2012,AAPL,19.0
664,8/21/2012,AAPL,18.0
665,8/22/2012,AAPL,19.0
666,8/23/2012,AAPL,18.0
667,8/24/2012,AAPL,18.0
668,8/27/2012,AAPL,19.0
669,8/28/2012,AAPL,19.0
670,8/29/2012,AAPL,19.0
671,8/30/2012,AAPL,18.0
672,8/31/2012,AAPL,19.0
673,9/4/2012,AAPL,19.0
674,9/5/2012,AAPL,19.0
675,9/6/2012,AAPL,19.0
676,9/7/2012,AAPL,19.0
677,9/10/2012,AAPL,18.0
678,9/11/2012,AAPL,18.0
679,9/12/2012,AAPL,19.0
680,9/13/2012,AAPL,19.0
681,9/14/2012,AAPL,19.0
682,9/17/2012,AAPL,19.0
683,9/18/2012,AAPL,20.0
684,9/19/2012,AAPL,20.0
685,9/20/2012,AAPL,19.0
686,9/21/2012,AAPL,20.0
687,9/24/2012,AAPL,19.0
688,9/25/2012,AAPL,19.0
689,9/26/2012,AAPL,19.0
690,9/27/2012,AAPL,19.0
691,9/28/2012,AAPL,19.0
692,10/1/2012,AAPL,18.0
693,10/2/2012,AAPL,18.0
694,10/3/2012,AAPL,19.0
695,10/4/2012,AAPL,19.0
696,10/5/2012,AAPL,18.0
697,10/8/2012,AAPL,18.0
698,10/9/2012,AAPL,18.0
699,10/10/2012,AAPL,18.0
700,10/11/2012,AAPL,17.0
701,10/12/2012,AAPL,17.0
702,10/15/2012,AAPL,18.0
703,10/16/2012,AAPL,18.0
704,10/17/2012,AAPL,18.0
705,10/18/2012,AAPL,18.0
706,10/19/2012,AAPL,17.0
707,10/22/2012,AAPL,18.0
708,10/23/2012,AAPL,17.0
709,10/24/2012,AAPL,17.0
710,10/25/2012,AAPL,17.0
711,10/26/2012,AAPL,17.0
712,10/31/2012,AAPL,17.0
713,11/1/2012,AAPL,17.0
714,11/2/2012,AAPL,16.0
715,11/5/2012,AAPL,16.0
716,11/6/2012,AAPL,16.0
717,11/7/2012,AAPL,15.0
718,11/8/2012,AAPL,15.0
719,11/9/2012,AAPL,15.0
720,11/12/2012,AAPL,15.0
721,11/13/2012,AAPL,15.0
722,11/14/2012,AAPL,15.0
723,11/15/2012,AAPL,15.0
724,11/16/2012,AAPL,15.0
